Prioridade,Orçamento,Natureza,Tribunal de Origem,Autos do precatório,Valor Deferido,Situação,Local,Regime
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,ADMINISTRAÇÃO DOS PORTOS DE PARANAGUÁ E ANTONINA - APPA - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,AGÊNCIA DE DEFESA AGROPECUÁRIA DO PARANÁ - ADAPAR - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,CENTRO CULTURAL TEATRO GUAÍRA - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,COMPANHIA DE DESENVOLVIMENTO AGROPECUÁRIO DO PARANÁ - CODAPAR - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,COMPANHIA DE HABITAÇÃO DO PARANÁ - COHAPAR - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,COMPANHIA DE SANEAMENTO DO PARANÁ - SANEPAR - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,COORDENAÇÃO DA REGIÃO METROPOLITANA DE CURTIBA - COMEC - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,DEPARTAMENTO DE IMPRENSA OFICIAL DO ESTADO DO PARANÁ - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,ESPERANÇA NOVA - Regime geral (Art. 100 CF),Geral
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,ESTADO DO PARANÁ - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,ESTADO DO RIO DE JANEIRO (RJ) - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,FACULDADE DE ARTES DO PARANÁ - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,"FACULDADE ESTADUAL DE EDUCAÇÃO, CIÊNCIAS E LETRAS DE PARANAVAÍ - Regime especial (Art. 101 ADCT)",Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,"FACULDADE ESTADUAL DE FILOSOFIA, CIÊNCIAS E LETRAS DE PARANAGUÁ - FAFIPAR - Regime especial (Art. 101 ADCT)",Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,FUNDAÇÃO DE DESENVOLVIMENTO SOCIAL E DA CIDADANIA DE MARINGÁ - FUNDESC - Regime geral (Art. 100 CF),Geral
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,FUNDAÇÃO DE SAÚDE PÚBLICA DE NOVO HAMBURGO - FSNH (RS) - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,FUNDAÇÃO HOSPITALAR DE CONTENDA - Regime geral (Art. 100 CF),Geral
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,GOVERNO DO PARANÁ - SECRETARIA DE ESTADO DA FAZENDA - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,GOVERNO DO PARANÁ - SECRETARIA DE ESTADO DA FAZENDA - Regime especial (Art. 101 ADCT).csv,Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,IACRI (SP) - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,INSTITUTO DAS ÁGUAS DO PARANÁ - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,INSTITUTO DE ADMINISTRAÇÃO FINANCEIRA DA PREVIDÊNCIA E ASSISTÊNCIA SOCIAL - IAPAS - Regime geral (Art. 100 CF),Geral
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,INSTITUTO DE APOSENTADORIA E PENSÕES DE CAMPO LARGO - FAPEN - Regime geral (Art. 100 CF),Geral
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,INSTITUTO DE AÇÃO SOCIAL DO PARANÁ - IASP - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,INSTITUTO DE DESENVOLVIMENTO RURAL DO PARANÁ - IAPAR - EMATER - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,INSTITUTO DE FLORESTAS DO PARANÁ - IFPR - Regime especial (Art. 101 ADCT),Especial
